CustomerID,Frequency,Monetary,Avg_Quantity,Avg_Spend,Cluster
12347.0,7,4310.0,351.0,616.0,"Occasional, Low-Spend"
12348.0,4,1797.24,585.0,449.0,"Occasional, Moderate-Spend"
12349.0,1,1757.55,631.0,1758.0,"Occasional, Moderate-Spend"
12350.0,1,334.4,197.0,334.0,"Occasional, Low-Spend"
12352.0,8,2506.04,67.0,313.0,"Occasional, Low-Spend"
12353.0,1,89.0,20.0,89.0,"Occasional, Low-Spend"
12354.0,1,1079.4,530.0,1079.0,"Occasional, Moderate-Spend"
12355.0,1,459.4,240.0,459.0,"Occasional, Low-Spend"
12356.0,3,2811.43,530.0,937.0,"Occasional, Moderate-Spend"
12357.0,1,6207.67,2708.0,6208.0,"Infrequent, High-Spend"
12358.0,2,1168.06,124.0,584.0,"Occasional, Low-Spend"
12359.0,4,6372.58,406.0,1593.0,"Occasional, Moderate-Spend"
12360.0,3,2662.06,388.0,887.0,"Occasional, Moderate-Spend"
12361.0,1,189.9,91.0,190.0,"Occasional, Low-Spend"
12362.0,10,5226.23,223.0,523.0,"Occasional, Low-Spend"
12363.0,2,552.0,204.0,276.0,"Occasional, Low-Spend"
12364.0,4,1313.1,376.0,328.0,"Occasional, Low-Spend"
12365.0,2,641.38,87.0,321.0,"Occasional, Low-Spend"
12367.0,1,168.9,173.0,169.0,"Occasional, Low-Spend"
12370.0,4,3545.69,588.0,886.0,"Occasional, Moderate-Spend"
12371.0,2,1887.96,296.0,944.0,"Occasional, Moderate-Spend"
12372.0,3,1298.04,265.0,433.0,"Occasional, Low-Spend"
12373.0,1,364.6,197.0,365.0,"Occasional, Low-Spend"
12374.0,1,742.93,342.0,743.0,"Occasional, Moderate-Spend"
12375.0,2,457.5,89.0,229.0,"Occasional, Low-Spend"
12377.0,2,1628.12,472.0,814.0,"Occasional, Moderate-Spend"
12378.0,1,4008.62,2529.0,4009.0,"Infrequent, High-Spend"
12379.0,2,852.24,204.0,426.0,"Occasional, Low-Spend"
12380.0,4,2724.81,282.0,681.0,"Occasional, Low-Spend"
12381.0,5,1845.31,162.0,369.0,"Occasional, Low-Spend"
12383.0,5,1850.56,306.0,370.0,"Occasional, Low-Spend"
12384.0,2,585.27,63.0,293.0,"Occasional, Low-Spend"
12386.0,2,401.9,177.0,201.0,"Occasional, Low-Spend"
12388.0,6,2780.66,244.0,463.0,"Occasional, Low-Spend"
12390.0,1,549.84,353.0,550.0,"Occasional, Low-Spend"
12391.0,1,460.89,300.0,461.0,"Occasional, Low-Spend"
12393.0,4,1582.6,204.0,396.0,"Occasional, Low-Spend"
12394.0,2,1272.48,410.0,636.0,"Occasional, Moderate-Spend"
12395.0,12,3018.63,176.0,252.0,"Occasional, Low-Spend"
12397.0,2,2409.9,632.0,1205.0,"Occasional, Moderate-Spend"
12398.0,1,1635.6599999999999,1394.0,1636.0,"Occasional, Moderate-Spend"
12399.0,4,1108.65,294.0,277.0,"Occasional, Low-Spend"
12401.0,1,84.3,11.0,84.0,"Occasional, Low-Spend"
12402.0,1,225.6,94.0,226.0,"Occasional, Low-Spend"
12403.0,1,427.7,96.0,428.0,"Occasional, Low-Spend"
12405.0,1,1710.3899999999999,857.0,1710.0,"Occasional, Moderate-Spend"
12406.0,2,3415.2999999999997,909.0,1708.0,"Occasional, Moderate-Spend"
12407.0,5,1708.12,283.0,342.0,"Occasional, Low-Spend"
12408.0,5,2888.55,282.0,578.0,"Occasional, Low-Spend"
12409.0,3,11072.67,1850.0,3691.0,"Infrequent, High-Spend"
12410.0,2,693.33,106.0,347.0,"Occasional, Low-Spend"
